sgis_adm_cd,resident_adm_code,district_name,adm_name,full_adm_name,population,age_60_69,age_70_79,age_80_89,age_90_99,age_100_plus,elderly_population_60_plus,elderly_ratio_60_plus,area_km2,elderly_density_per_km2,green_ratio_percent,shelter_count,shelter_capacity_total,shelters_per_1000_elderly,capacity_per_1000_elderly,coverage_ratio_500m_area,coverage_gap_500m_area,nearest_shelter_distance_m_centroid,estimated_covered_elderly_area,estimated_uncovered_elderly_area,grid_cell_count_100m,grid_population_total,grid_accessibility_index_exp_d_300,grid_accessibility_lack_score,grid_population_weighted_accessibility_index,grid_population_weighted_accessibility_lack_score,grid_mean_nearest_shelter_distance_m,grid_beyond_500m_ratio,heat_score,vulnerability_score,access_score_existing_area_based,priority_score_existing_pipeline,shelter_source_mode,boundary_source
22040610,2720061000,남구,대명6동,대구광역시 남구 대명6동,10238,1720,1249,520,103,2,3594,0.351045,1.80921,1986.503,64.7,5,98.0,1.391,27.268,0.417244,0.582756,613.025,1499.6,2094.4,186,10924.0,0.25419,74.581,0.587997,41.2,777.275,0.586022,0.0,29.482,36.02,21.125,cache,SGIS 2025 adm_cd=22 low_search=2
22040640,2720064000,남구,대명9동,대구광역시 남구 대명9동,13012,2357,1680,793,121,0,4951,0.380495,3.139672,1576.916,63.3,4,79.0,0.808,15.956,0.446661,0.553339,744.884,2211.4,2739.6,350,18077.0,0.238078,76.192,0.446896,55.31,771.499,0.497143,0.0,30.834,38.395,22.31,cache,SGIS 2025 adm_cd=22 low_search=2
22040530,2720053000,남구,봉덕1동,대구광역시 남구 봉덕1동,7618,1486,1070,588,121,2,3267,0.428853,0.517886,6308.339,2.7,7,188.0,2.143,57.545,1.0,0.0,77.365,3267.0,0.0,48,7417.0,0.639533,36.047,0.625233,37.477,140.335,0.0,0.0,55.313,1.028,19.668,cache,SGIS 2025 adm_cd=22 low_search=2
22040540,2720054000,남구,봉덕2동,대구광역시 남구 봉덕2동,12787,2013,1521,745,168,3,4450,0.34801,3.257012,1366.283,73.6,2,26.0,0.449,5.843,0.367138,0.632862,943.887,1633.8,2816.2,329,12792.0,0.176342,82.366,0.474927,52.507,1034.714,0.62614,0.0,26.615,46.451,23.25,cache,SGIS 2025 adm_cd=22 low_search=2
22040550,2720055000,남구,봉덕3동,대구광역시 남구 봉덕3동,13863,2537,1916,1006,187,2,5648,0.407415,2.598104,2173.893,64.6,3,102.0,0.531,18.059,0.612574,0.387426,324.816,3459.8,2188.2,259,14248.0,0.267314,73.269,0.487505,51.249,691.125,0.389961,0.0,36.071,21.46,19.063,cache,SGIS 2025 adm_cd=22 low_search=2
22040510,2720051500,남구,이천동,대구광역시 남구 이천동,14184,1970,1527,950,175,4,4626,0.326142,1.097431,4215.298,28.8,4,121.0,0.865,26.157,1.0,0.0,287.797,4626.0,0.0,113,13379.0,0.491473,50.853,0.485735,51.427,228.675,0.0,0.0,36.093,6.511,14.586,cache,SGIS 2025 adm_cd=22 low_search=2
22070570,2729055500,달서구,감삼동,대구광역시 달서구 감삼동,31072,4372,2254,784,80,1,7491,0.241085,1.097521,6825.38,1.3,7,219.0,0.934,29.235,0.954768,0.045232,287.475,7152.2,338.8,107,29395.0,0.523396,47.66,0.452865,54.714,216.779,0.037383,0.0,38.068,8.135,15.764,cache,SGIS 2025 adm_cd=22 low_search=2
22070680,2729062800,달서구,도원동,대구광역시 달서구 도원동,30811,6944,3519,1298,239,6,12006,0.389666,10.681809,1123.967,82.2,16,543.0,1.333,45.227,0.23521,0.76479,820.365,2823.9,9182.1,1067,32677.0,0.138246,86.175,0.688611,31.139,1084.763,0.765698,0.0,29.915,47.994,24.868,cache,SGIS 2025 adm_cd=22 low_search=2
22070760,2729053500,달서구,두류1.2동,대구광역시 달서구 두류1·2동,15573,2638,1748,852,97,1,5336,0.342644,1.25215,4261.472,19.5,6,328.0,1.124,61.469,0.985948,0.014052,137.875,5261.0,75.0,126,14182.0,0.499926,50.007,0.568881,43.112,227.571,0.015873,0.0,37.986,3.112,14.229,cache,SGIS 2025 adm_cd=22 low_search=2
22070550,2729055000,달서구,두류3동,대구광역시 달서구 두류3동,8896,1570,1100,517,74,1,3262,0.366682,1.207868,2700.627,47.1,7,165.0,2.146,50.582,0.86776,0.13224,206.924,2830.6,431.4,119,8624.0,0.456138,54.386,0.657752,34.225,278.319,0.142857,0.0,34.037,9.177,14.666,cache,SGIS 2025 adm_cd=22 low_search=2
