발생률순위,구·군,행정동,행정동코드,2026-07 인구,미래 발생률(/1만명),위험지수,위험등급,예상환자수(명),신뢰도,신뢰등급,주동인1,기여도1,주동인2,기여도2,최고 열지수 대체치(℃),폭염일수,강한폭염일수,열대야일수,최대연속폭염일,누적열부담,RDA 기후단위,대체처리,대체처리 요약,피해연속성(20),과거기후완전성(15),미래기후해상도(20),미래습도(10),모형성능(20),추정대체비율(15),자료완전성
138,달서구,송현1동,2729063000,15927,0.13503114943236438,5.486785478202046,매우 낮음,0.21506411170092674,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
139,수성구,황금1동,2726060100,20820,0.1142369023221696,2.9249683472624506,매우 낮음,0.2378412306347571,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
140,수성구,황금2동,2726060200,11770,0.1142369023221696,2.9249683472624506,매우 낮음,0.13445683403319364,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
141,수성구,중동,2726061000,14422,0.1142369023221696,2.9249683472624506,매우 낮음,0.16475246052903297,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
142,수성구,상동,2726062000,13938,0.1142369023221696,2.9249683472624506,매우 낮음,0.15922339445664,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
143,수성구,파동,2726063000,17133,0.1142369023221696,2.9249683472624506,매우 낮음,0.19572208474857317,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
144,수성구,두산동,2726064000,14840,0.1142369023221696,2.9249683472624506,매우 낮음,0.16952756304609967,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
145,수성구,지산1동,2726065100,18617,0.1142369023221696,2.9249683472624506,매우 낮음,0.21267484105318313,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
146,수성구,지산2동,2726065200,18149,0.1142369023221696,2.9249683472624506,매우 낮음,0.2073285540245056,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
147,수성구,범물2동,2726066200,15526,0.1142369023221696,2.9249683472624506,매우 낮음,0.17736421454540052,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.04158277870726582,48.44789707164102,5.4,0.4,0.7,2.1,4.237415240000006,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
148,북구,국우동,2723080000,29112,0.10488257082414107,1.7725300525194552,매우 낮음,0.30533414018323946,61,중,최대 연속 폭염일,0.0051956031263367,폭염일수(≥33℃),0.0,51.51118492180035,10.9,0.9,7.8,4.1,9.250046520000012,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
149,북구,읍내동,2723077000,24576,0.07524182882755388,0.0,매우 낮음,0.18491431852659643,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.029888183248865184,49.433255531930826,5.7,0.3,2.3,2.6,4.873783000000005,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
150,동구,공산동,2714076000,19708,0.05626492701249189,0.0,매우 낮음,0.11088691815621901,61,중,폭염일수(≥33℃),0.0,최대 연속 폭염일,-0.08602224144918821,42.150579732554185,0.3,0.0,0.0,0.2,0.07963993999999985,대구광역시(도시권),Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,20,15,8,2,11,5,1
