resident_adm_code,district_name,adm_name,population,age_60_69,age_70_79,age_80_89,age_90_99,age_100_plus,elderly_population_60_plus,elderly_ratio_60_plus,base_year_month,source_note
2720066000,남구,대명11동,7108,1604,1210,558,92,1,3465,0.487479,2026-07,행정안전부 주민등록 인구통계 원본
2720056000,남구,대명1동,9187,1748,1263,545,81,2,3639,0.396103,2026-07,행정안전부 주민등록 인구통계 원본
2720057100,남구,대명2동,15180,1866,1334,645,104,1,3950,0.260211,2026-07,행정안전부 주민등록 인구통계 원본
2720058600,남구,대명3동,12100,2029,1526,677,109,1,4342,0.358843,2026-07,행정안전부 주민등록 인구통계 원본
2720059000,남구,대명4동,8958,1952,1412,640,94,2,4100,0.457691,2026-07,행정안전부 주민등록 인구통계 원본
2720060000,남구,대명5동,8858,1114,742,358,65,0,2279,0.257282,2026-07,행정안전부 주민등록 인구통계 원본
2720061000,남구,대명6동,10238,1720,1249,520,103,2,3594,0.351045,2026-07,행정안전부 주민등록 인구통계 원본
2720064000,남구,대명9동,13012,2357,1680,793,121,0,4951,0.380495,2026-07,행정안전부 주민등록 인구통계 원본
2720053000,남구,봉덕1동,7618,1486,1070,588,121,2,3267,0.428853,2026-07,행정안전부 주민등록 인구통계 원본
2720054000,남구,봉덕2동,12787,2013,1521,745,168,3,4450,0.348010,2026-07,행정안전부 주민등록 인구통계 원본
2720055000,남구,봉덕3동,13863,2537,1916,1006,187,2,5648,0.407415,2026-07,행정안전부 주민등록 인구통계 원본
2720051500,남구,이천동,14184,1970,1527,950,175,4,4626,0.326142,2026-07,행정안전부 주민등록 인구통계 원본
2723068000,북구,검단동,5388,1240,889,393,63,1,2586,0.479955,2026-07,행정안전부 주민등록 인구통계 원본
2723051000,북구,고성동,14568,1046,683,275,55,0,2059,0.141337,2026-07,행정안전부 주민등록 인구통계 원본
2723071500,북구,관문동,31927,5001,2599,949,143,4,8696,0.272371,2026-07,행정안전부 주민등록 인구통계 원본
2723075000,북구,관음동,13654,3023,1568,670,111,2,5374,0.393584,2026-07,행정안전부 주민등록 인구통계 원본
2723074500,북구,구암동,30165,4950,1971,1033,154,5,8113,0.268954,2026-07,행정안전부 주민등록 인구통계 원본
2723080000,북구,국우동,29070,3629,1625,810,145,2,6211,0.213657,2026-07,행정안전부 주민등록 인구통계 원본
2723079000,북구,노원동,10922,2365,1551,535,54,1,4506,0.412562,2026-07,행정안전부 주민등록 인구통계 원본
2723064500,북구,대현동,15511,2556,1878,1013,154,1,5602,0.361163,2026-07,행정안전부 주민등록 인구통계 원본
2723078000,북구,동천동,24605,3292,1335,800,109,2,5538,0.225076,2026-07,행정안전부 주민등록 인구통계 원본
2723069500,북구,무태조야동,32444,4857,2840,1089,155,2,8943,0.275644,2026-07,행정안전부 주민등록 인구통계 원본
2723067100,북구,복현1동,7072,893,545,194,28,0,1660,0.234729,2026-07,행정안전부 주민등록 인구통계 원본
2723067200,북구,복현2동,28639,4487,2304,861,136,4,7792,0.272077,2026-07,행정안전부 주민등록 인구통계 원본
2723061000,북구,산격1동,7332,1838,1460,719,98,1,4116,0.561375,2026-07,행정안전부 주민등록 인구통계 원본
2723062000,북구,산격2동,9348,2012,1160,525,64,3,3764,0.402653,2026-07,행정안전부 주민등록 인구통계 원본
2723063000,북구,산격3동,8336,1139,904,392,60,1,2496,0.299424,2026-07,행정안전부 주민등록 인구통계 원본
2723063100,북구,산격4동,6934,1435,1065,467,58,0,3025,0.436256,2026-07,행정안전부 주민등록 인구통계 원본
2723077000,북구,읍내동,24509,4707,2195,1001,180,3,8086,0.329920,2026-07,행정안전부 주민등록 인구통계 원본
2723052600,북구,칠성동,23599,2893,1876,940,165,8,5882,0.249248,2026-07,행정안전부 주민등록 인구통계 원본
2723055000,북구,침산1동,3428,887,563,212,37,2,1701,0.496208,2026-07,행정안전부 주민등록 인구통계 원본
2723056000,북구,침산2동,17800,2102,1262,594,84,4,4046,0.227303,2026-07,행정안전부 주민등록 인구통계 원본
2723057000,북구,침산3동,17673,2785,1737,863,130,0,5515,0.312058,2026-07,행정안전부 주민등록 인구통계 원본
2723072500,북구,태전1동,21026,3817,1991,918,168,2,6896,0.327975,2026-07,행정안전부 주민등록 인구통계 원본
2723073500,북구,태전2동,21561,4008,2197,913,124,6,7248,0.336163,2026-07,행정안전부 주민등록 인구통계 원본
2726067000,수성구,고산1동,31006,4619,2208,1016,173,2,8018,0.258595,2026-07,행정안전부 주민등록 인구통계 원본
2726068000,수성구,고산2동,25494,3984,2189,975,172,5,7325,0.287323,2026-07,행정안전부 주민등록 인구통계 원본
2726069000,수성구,고산3동,29072,5033,2464,1243,251,5,8996,0.309439,2026-07,행정안전부 주민등록 인구통계 원본
2726064000,수성구,두산동,14758,2148,1142,426,78,4,3798,0.257352,2026-07,행정안전부 주민등록 인구통계 원본
2726055000,수성구,만촌1동,20138,3230,2186,1025,191,4,6636,0.329526,2026-07,행정안전부 주민등록 인구통계 원본
2726056000,수성구,만촌2동,13038,1722,1069,466,92,3,3352,0.257095,2026-07,행정안전부 주민등록 인구통계 원본
2726056100,수성구,만촌3동,20470,1861,1113,507,75,1,3557,0.173766,2026-07,행정안전부 주민등록 인구통계 원본
2726066100,수성구,범물1동,9614,2293,1977,952,178,3,5403,0.561993,2026-07,행정안전부 주민등록 인구통계 원본
2726066200,수성구,범물2동,15478,2832,1665,576,111,1,5185,0.334992,2026-07,행정안전부 주민등록 인구통계 원본
2726051000,수성구,범어1동,22636,2302,1322,649,105,1,4379,0.193453,2026-07,행정안전부 주민등록 인구통계 원본
2726052000,수성구,범어2동,15278,1864,1119,567,99,3,3652,0.239037,2026-07,행정안전부 주민등록 인구통계 원본
2726053000,수성구,범어3동,16980,1631,835,371,73,0,2910,0.171378,2026-07,행정안전부 주민등록 인구통계 원본
2726054000,수성구,범어4동,18409,1456,942,399,74,0,2871,0.155956,2026-07,행정안전부 주민등록 인구통계 원본
2726062000,수성구,상동,13865,2595,1819,843,166,2,5425,0.391273,2026-07,행정안전부 주민등록 인구통계 원본
2726057000,수성구,수성1가동,16915,2341,1772,1000,193,6,5312,0.314041,2026-07,행정안전부 주민등록 인구통계 원본
2726058000,수성구,수성2.3가동,10151,1348,962,461,70,0,2841,0.279874,2026-07,행정안전부 주민등록 인구통계 원본
2726059000,수성구,수성4가동,12741,2346,1451,747,150,6,4700,0.368888,2026-07,행정안전부 주민등록 인구통계 원본
2726061000,수성구,중동,14359,1887,1210,560,94,0,3751,0.261230,2026-07,행정안전부 주민등록 인구통계 원본
2726065100,수성구,지산1동,18537,3643,2514,1222,207,6,7592,0.409559,2026-07,행정안전부 주민등록 인구통계 원본
2726065200,수성구,지산2동,18072,3358,2155,931,198,3,6645,0.367696,2026-07,행정안전부 주민등록 인구통계 원본
2726063000,수성구,파동,17086,2658,1829,772,140,5,5404,0.316282,2026-07,행정안전부 주민등록 인구통계 원본
2726060100,수성구,황금1동,20771,2724,1552,628,146,3,5053,0.243272,2026-07,행정안전부 주민등록 인구통계 원본
2726060200,수성구,황금2동,11706,1581,1164,518,76,0,3339,0.285238,2026-07,행정안전부 주민등록 인구통계 원본
2729055500,달서구,감삼동,31072,4372,2254,784,80,1,7491,0.241085,2026-07,행정안전부 주민등록 인구통계 원본
2729062800,달서구,도원동,30811,6944,3519,1298,239,6,12006,0.389666,2026-07,행정안전부 주민등록 인구통계 원본
2729053500,달서구,두류1.2동,15573,2638,1748,852,97,1,5336,0.342644,2026-07,행정안전부 주민등록 인구통계 원본
2729055000,달서구,두류3동,8896,1570,1100,517,74,1,3262,0.366682,2026-07,행정안전부 주민등록 인구통계 원본
2729065000,달서구,본동,13106,2426,1427,582,120,1,4556,0.347627,2026-07,행정안전부 주민등록 인구통계 원본
2729059000,달서구,본리동,22922,3461,1660,527,99,2,5749,0.250807,2026-07,행정안전부 주민등록 인구통계 원본
2729062400,달서구,상인1동,31853,5576,3078,1136,211,2,10003,0.314036,2026-07,행정안전부 주민등록 인구통계 원본
2729062500,달서구,상인2동,16678,3309,1743,654,97,1,5804,0.348003,2026-07,행정안전부 주민등록 인구통계 원본
2729062600,달서구,상인3동,9403,2528,1931,771,147,4,5381,0.572264,2026-07,행정안전부 주민등록 인구통계 원본
2729051500,달서구,성당동,19858,3820,2613,1035,169,4,7641,0.384782,2026-07,행정안전부 주민등록 인구통계 원본
2729063000,달서구,송현1동,15838,3282,2198,921,149,3,6553,0.413752,2026-07,행정안전부 주민등록 인구통계 원본
2729064000,달서구,송현2동,17538,3545,2440,1092,197,2,7276,0.414871,2026-07,행정안전부 주민등록 인구통계 원본
2729058500,달서구,신당동,27779,4707,2430,1070,165,1,8373,0.301415,2026-07,행정안전부 주민등록 인구통계 원본
2729057100,달서구,용산1동,27761,5049,2145,880,117,2,8193,0.295126,2026-07,행정안전부 주민등록 인구통계 원본
2729057200,달서구,용산2동,24538,5110,1967,810,117,2,8006,0.326269,2026-07,행정안전부 주민등록 인구통계 원본
2729060100,달서구,월성1동,39381,3216,1707,590,124,0,5637,0.143140,2026-07,행정안전부 주민등록 인구통계 원본
2729060200,달서구,월성2동,13389,2828,2453,1105,168,1,6555,0.489581,2026-07,행정안전부 주민등록 인구통계 원본
2729061700,달서구,유천동,32849,2302,1004,299,31,1,3637,0.110719,2026-07,행정안전부 주민등록 인구통계 원본
2729057600,달서구,이곡1동,19599,3763,1485,623,103,2,5976,0.304914,2026-07,행정안전부 주민등록 인구통계 원본
2729057700,달서구,이곡2동,14013,3182,1422,486,65,0,5155,0.367873,2026-07,행정안전부 주민등록 인구통계 원본
2729056800,달서구,장기동,15302,2605,1441,575,73,2,4696,0.306888,2026-07,행정안전부 주민등록 인구통계 원본
2729056300,달서구,죽전동,14290,2531,1413,515,72,2,4533,0.317215,2026-07,행정안전부 주민등록 인구통계 원본
2729061500,달서구,진천동,49142,8211,4422,1727,316,3,14679,0.298706,2026-07,행정안전부 주민등록 인구통계 원본
2771031000,달성군,가창면,6692,1609,1297,620,183,7,3716,0.555290,2026-07,행정안전부 주민등록 인구통계 원본
2771038000,달성군,구지면,18806,2111,1120,507,105,1,3844,0.204403,2026-07,행정안전부 주민등록 인구통계 원본
2771025300,달성군,논공읍,14736,3108,1499,698,113,2,5420,0.367807,2026-07,논공읍+논공읍공단출장소 합산
2771025600,달성군,다사읍,88806,11199,5409,1773,247,8,18636,0.209851,2026-07,다사읍+다사읍서재출장소 합산
2771026200,달성군,옥포읍,22094,4323,2511,895,130,1,7860,0.355753,2026-07,행정안전부 주민등록 인구통계 원본
2771025900,달성군,유가읍,31210,2666,1294,443,82,0,4485,0.143704,2026-07,행정안전부 주민등록 인구통계 원본
2771033000,달성군,하빈면,3096,983,566,342,82,2,1975,0.637920,2026-07,행정안전부 주민등록 인구통계 원본
2771026500,달성군,현풍읍,20850,2957,1802,723,143,1,5626,0.269832,2026-07,행정안전부 주민등록 인구통계 원본
2771025000,달성군,화원읍,45279,9230,4733,1782,277,4,16026,0.353939,2026-07,행정안전부 주민등록 인구통계 원본
2772025000,군위군,군위읍,7882,1767,1213,656,150,1,3787,0.480462,2026-07,행정안전부 주민등록 인구통계 원본
2772033000,군위군,부계면,2103,647,456,262,56,0,1421,0.675701,2026-07,행정안전부 주민등록 인구통계 원본
2772036000,군위군,산성면,1198,379,294,175,44,1,893,0.745409,2026-07,행정안전부 주민등록 인구통계 원본
2772037000,군위군,삼국유사면,1327,441,348,178,31,0,998,0.752072,2026-07,행정안전부 주민등록 인구통계 원본
2772031000,군위군,소보면,2214,673,507,337,64,1,1582,0.714544,2026-07,행정안전부 주민등록 인구통계 원본
2772034000,군위군,우보면,1935,612,463,268,60,0,1403,0.725065,2026-07,행정안전부 주민등록 인구통계 원본
2772035000,군위군,의흥면,2216,655,559,333,71,0,1618,0.730144,2026-07,행정안전부 주민등록 인구통계 원본
2772032000,군위군,효령면,3629,1112,848,426,80,0,2466,0.679526,2026-07,행정안전부 주민등록 인구통계 원본
